
Status  Name                                                   DisplayName                                                                       
------  ----                                                   -----------                                                                       
Stopped SDRSVC                                                 Windows Backup                                                                    
Stopped SCPolicySvc                                            Smart Card Removal Policy                                                         
Stopped SensorService                                          Sensor Service                                                                    
Stopped SensorDataService                                      Sensor Data Service                                                               
Stopped Sense                                                  Windows Defender Advanced Threat Protection Service                               
Stopped ScDeviceEnum                                           Smart Card Device Enumeration Service                                             
Stopped RemoteAccess                                           Routing and Remote Access                                                         
Stopped RasAuto                                                Remote Access Auto Connection Manager                                             
Stopped QWAVE                                                  Quality Windows Audio Video Experience                                            
Stopped RpcLocator                                             Remote Procedure Call (RPC) Locator                                               
Stopped RetailDemo                                             Retail Demo Service                                                               
Stopped RemoteRegistry                                         Remote Registry                                                                   
Stopped OneDrive Updater Service                               OneDrive Updater Service                                                          
Stopped MapsBroker                                             Downloaded Maps Manager                                                           
Stopped LxssManagerUser_91113                                  LxssManagerUser_91113                                                             
Stopped LxssManager                                            LxssManager                                                                       
Stopped MicrosoftEdgeElevationService                          Microsoft Edge Elevation Service (MicrosoftEdgeElevationService)                  
Stopped MessagingService_91113                                 MessagingService_91113                                                            
Stopped McpManagementService                                   McpManagementService                                                              
Stopped LxpSvc                                                 Language Experience Service                                                       
Stopped Intel(R) Capability Licensing Service TCP IP Interface Intel(R) Capability Licensing Service TCP IP Interface                            
Stopped IKEEXT                                                 IKE and AuthIP IPsec Keying Modules                                               
Stopped icssvc                                                 Windows Mobile Hotspot Service                                                    
Stopped lltdsvc                                                Link-Layer Topology Discovery Mapper                                              
Stopped KtmRm                                                  KtmRm for Distributed Transaction Coordinator                                     
Stopped IpxlatCfgSvc                                           IP Translation Configuration Service                                              
Stopped Netman                                                 Network Connections                                                               
Stopped Netlogon                                               Netlogon                                                                          
Stopped NcdAutoSetup                                           Network Connected Devices Auto-Setup                                              
Stopped NgcSvc                                                 Microsoft Passport                                                                
Stopped NetTcpPortSharing                                      Net.Tcp Port Sharing Service                                                      
Stopped NetSetupSvc                                            Network Setup Service                                                             
Stopped NcaSvc                                                 Network Connectivity Assistant                                                    
Stopped MSiSCSI                                                Microsoft iSCSI Initiator Service                                                 
Stopped MSDTC                                                  Distributed Transaction Coordinator                                               
Stopped MixedRealityOpenXRSvc                                  Windows Mixed Reality OpenXR Service                                              
Stopped NaturalAuthentication                                  Natural Authentication                                                            
Stopped MsKeyboardFilter                                       Microsoft Keyboard Filter                                                         
Stopped msiserver                                              Windows Installer                                                                 


